Image Name,Index class,Index prefix,Index name,2024
page_112.png,United States,Onshore wind farms (ha),,"Surface area inside PS or HBV: 108, Surface area inside PS: 0, Adjacent facilities (units): 0, Type of protection: Key Biodiversity Areas (KBA)."
page_113.png,,,,
page_114.png,IUCN Red List Classification,Critically endangered (CR),No. of species,22
page_115.png,,,,
page_116.png,Environmental,Trees promoted for restoration and conservation,Carbon2Nature (C2N) Spain,3.4 million
page_117.png,Restoration and Conservation,Reforestation in Portugal (trees planted),T̢mega hydroelectric complex,41000
page_118.png,,,,
page_119.png,,,,
page_120.png,,,,
page_121.png,Environmental,Challenges for 2030,"['Reducing primary materials for electricity by 50% compared to 2020', '100% light fleet sustainable', '100% recycling of blades and photovoltaic panels (50% in 2025)', '10% near-zero steel as part of First Movers Coalition', '50% sustainable steel by 2030 and 100% by 2050 as part of SteelZero initiative']",
page_122.png,GRI 301-1,Coal (t),Use of raw materials,0
page_123.png,Environmental,Distribution of fuel consumption in 2023 (%),Spain,"{'Coal': '0', 'Fuel oil': '100', 'Natural Gas': '12.5', 'Diesel': '45.1', 'Uranium': '100', 'WDF': '100', 'Offgas': '100'}"
page_124.png,"Water withdrawal, discharge and consumption",Total water withdrawal (ML),Total,"1,745,363"
page_125.png,Water use,Total water consumption (ML),,
