index_name,index_value,Company Report Name,Year,Predicted_label,Score
AgedUnder30.Singapore,178,CDL_Hospitality_report_,2021,Development & Training,10
AgedUnder30.Overseas,342,CDL_Hospitality_report_,2021,Development & Training,7
AgedUnder30.AllHotels,520,CDL_Hospitality_report_,2021,Development & Training,4
Aged30To50.Singapore,442,CDL_Hospitality_report_,2021,Development & Training,7
AgedOver50.Singapore,163,CDL_Hospitality_report_,2021,Development & Training,8
AgedOver50.Overseas,102,CDL_Hospitality_report_,2021,Development & Training,10
TemporaryStaffGenderDistribution.Male,78,CDL_Hospitality_report_,2021,Gender Diversity,6
TemporaryStaffGenderDistribution.Female,22,CDL_Hospitality_report_,2021,Gender Diversity,1
AgeGroupDistribution.Aged30To50,52,CDL_Hospitality_report_,2021,Development & Training,5
AgeGroupDistribution.AgedUnder30,32,CDL_Hospitality_report_,2021,Development & Training,9
Singapore.Male,4.87,CDL_Hospitality_report_,2021,Board Composition,4.87
Singapore.Female,4.57,CDL_Hospitality_report_,2021,Gender Diversity,4.57
Overseas.Female,0.09,CDL_Hospitality_report_,2021,Gender Diversity,0.9
All_Hotels.Male,4.96,CDL_Hospitality_report_,2021,Development & Training,5
All_Hotels.Female,4.67,CDL_Hospitality_report_,2021,Gender Diversity,7
Singapore.Male,535,CDL_Hospitality_report_,2021,Board Composition,5
Singapore.Female,336,CDL_Hospitality_report_,2021,Gender Diversity,3.4
Overseas.Female,791,CDL_Hospitality_report_,2021,Gender Diversity,8
All_Hotels.Male,4081,CDL_Hospitality_report_,2021,Development & Training,10
All_Hotels.Female,1127,CDL_Hospitality_report_,2021,Gender Diversity,4
Singapore.Male,16420,CDL_Hospitality_report_,2021,Management Diversity,0
Singapore.Female,15435,CDL_Hospitality_report_,2021,Gender Diversity,7
Overseas.Male,306,CDL_Hospitality_report_,2021,Development & Training,3
Overseas.Female,310,CDL_Hospitality_report_,2021,Gender Diversity,3.1
All_Hotels.Female,15745,CDL_Hospitality_report_,2021,Gender Diversity,7
Annual Funds Raised.Max,10000,CDL_Hospitality_report_,2021,Economic Performance,3
Mustard Tree.Years of Support,4,CDL_Hospitality_report_,2021,Development & Training,4
Spectrum.Families Supported,30000,CDL_Hospitality_report_,2021,Development & Training,7
Organisational_Profile.2-1,113,CDL_Hospitality_report_,2021,Board Composition,9
Organisational_Profile.2-3,116,CDL_Hospitality_report_,2021,Development & Training,7
Organisational_Profile.2-4[0],120,CDL_Hospitality_report_,2021,Board Composition,10
Activities_and_Workers.2-6,114,CDL_Hospitality_report_,2021,Development & Training,8
Activities_and_Workers.2-7,129,CDL_Hospitality_report_,2021,Development & Training,8
Activities_and_Workers.2-8,129,CDL_Hospitality_report_,2021,Development & Training,8
Governance.2-9[1],125,CDL_Hospitality_report_,2021,Board Composition,10
Governance.2-10,125,CDL_Hospitality_report_,2021,Development & Training,7
Governance.2-12,125,CDL_Hospitality_report_,2021,Board Composition,10
Governance.2-13[0],116,CDL_Hospitality_report_,2021,Board Composition,10
Governance.2-13[1],125,CDL_Hospitality_report_,2021,Board Composition,10
Governance.2-14,116,CDL_Hospitality_report_,2021,Board Composition,8
Governance.2-16,116,CDL_Hospitality_report_,2021,Board Composition,10
Governance.2-17,116,CDL_Hospitality_report_,2021,Board Composition,10
Governance.2-18,116,CDL_Hospitality_report_,2021,Board Composition,8
Stakeholder_Engagement.2-29,117,CDL_Hospitality_report_,2021,Development & Training,8
GRI_3_Material_Topics_2021.3-2,118,CDL_Hospitality_report_,2021,Development & Training,8
GRI_3_Material_Topics_2021.Management_of_material_topics[1],120,CDL_Hospitality_report_,2021,Alignment with Frameworks And Disclosure Practices,6
GRI_302_Energy_2016.Energy_consumption_within_the_organisation,120,CDL_Hospitality_report_,2021,Energy Consumption(GJ),8
GRI_302_Energy_2016.Reduction_of_energy_consumption,120,CDL_Hospitality_report_,2021,Energy Consumption(GJ),10
GRI_3_Material_Topics_2021.Management_of_material_topics[0],121,CDL_Hospitality_report_,2021,Management Diversity,10
GRI_303_Water_and_Effluents_2018.Water_consumption,122,CDL_Hospitality_report_,2021,Water Consumption,7
GRI_306_Effluents_and_Waste_2021.Waste_by_type_and_disposal_method,123,CDL_Hospitality_report_,2021,Waste Generation,8
GRI_403_Occupational_Health_and_Safety_2018.Work_related_injuries,128,CDL_Hospitality_report_,2021,Occupational Health & Safety,7
GRI_404_Training_and_Education_2016.Average_hours_of_training_per_year_per_employee,129,CDL_Hospitality_report_,2021,Development & Training,10
GRI_3_Material_Topics_2021.Management_of_material_topics,131,CDL_Hospitality_report_,2021,Management Diversity,10
png.energy_supply_capability_million_homes,2.2,Vena-Energy-Sustainability-Report-_LowRes,2022,Energy Consumption(GJ),3
Environment.Climate Action & Emissions,31,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),6
Social.Our People,41,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
Social.Occupational Health and Safety (OHS),50,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,5
Governance.Board of Directors,61,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,6
Governance.Corporate Governance,63,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,6
Additional Information.Independent Limited Assurance Report,74,Vena-Energy-Sustainability-Report-_LowRes,2022,Assurance of Sustainability Report,7
Additional Information.Commitment to UN Global Compact,85,Vena-Energy-Sustainability-Report-_LowRes,2022,Alignment with Frameworks And Disclosure Practices,8.5
Development_Pipeline.GW,36.6,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,4
Operational_Generation.2021_TWh,3.1,Vena-Energy-Sustainability-Report-_LowRes,2022,Energy Consumption(GJ),2
GHG_Emission_Reductions.Tonnes,6913826,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),8
Water_Saved.Megalitres,8841,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,7
Revenue.2021_Million,385,Vena-Energy-Sustainability-Report-_LowRes,2022,Economic Performance,4
EBITDA.2021_Million,282,Vena-Energy-Sustainability-Report-_LowRes,2022,Economic Performance,4
Our_People.Count,827,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,5
Our_People.Headcount_Growth,20,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
vena_energy_projects.developing_capacity_GW,19,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
png.global_carbon_emissions_percentage,92,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),4
png.DevelopmentPipeline,36.6,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
Vena Energy.under_construction,836,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
png.global_manmade_emissions_percentage,70,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),4
Greenhouse_Gas_Emission_Reductions_in_Tonnes.Total,6913826,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),9
Greenhouse_Gas_Emission_Reductions_in_Tonnes.Operational_Percentage,39,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),4
Greenhouse_Gas_Emission_Reductions_in_Tonnes.Construction_Contracted_Percentage,61,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),2
Megalitres_of_Water_Saved.Total,8841,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,4
Megalitres_of_Water_Saved.Operational_Percentage,34,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,7
Megalitres_of_Water_Saved.Construction_Contracted_Percentage,66,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,7
2022.total_GHG_emissions,520796,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),8
2022.scope_1_and_2_emissions_percentage,5,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),8
2022.scope_1_and_2_emissions,25590,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
2022.scope_1_emissions,720,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
2022.scope_2_emissions,24870,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),5
2022.scope_3_emissions,495206,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),3
2021.total_emissions,610074,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
2021.scope_2_emissions,12715,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
2021.scope_3_emissions,596509,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
png.fuel_consumption_liters,290804,Vena-Energy-Sustainability-Report-_LowRes,2022,Energy Consumption(GJ),7
png.electricity_consumption_GWh,32.3,Vena-Energy-Sustainability-Report-_LowRes,2022,Energy Consumption(GJ),6
png.GHG_emissions_avoided_tonnes,32,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),3
Category 1 - Purchased Goods and Services.2021 GHG Emissions,14584,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),3
Category 1 - Purchased Goods and Services.2022 GHG Emissions,14620,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
Category 2 - Capital Goods.2021 GHG Emissions,552970,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),3
Category 2 - Capital Goods.2022 GHG Emissions,467741,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),5
Category 4 - Upstream Transportation & Distribution.2021 GHG Emissions,19062,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),4
Category 4 - Upstream Transportation & Distribution.2022 GHG Emissions,7566,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),6
Category 5 - Waste Generated in Operations.2021 GHG Emissions,8411,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,3
Category 5 - Waste Generated in Operations.2021 % Contribution,1.4,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,7
Category 5 - Waste Generated in Operations.2022 GHG Emissions,1678,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,4
Category 5 - Waste Generated in Operations.2022 % Contribution,0.3,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,3
Category 6 - Business Travel.2021 GHG Emissions,1482,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
Category 6 - Business Travel.2022 GHG Emissions,3601,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
Carbon Intensity (Scope 1 & 2) Target.2022,2.4,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
Carbon Intensity (Scope 1 & 2) Target.2025,1.8,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
Carbon Intensity (Scope 1 & 2) Target.2030,0.8,Vena-Energy-Sustainability-Report-_LowRes,2022,Greenhouse Gas Emissions(“GHG”),7
2022.water_consumed,59139,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,5
2022.water_saved,8917,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,6
png.water_consumption_decrease_percentage,5.1,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,6
water_conservation_efforts.water_saved_in_India,8000,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,4
India.water_resources_percentage,4,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,7
India.people_lacking_safe_water,91000000,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,7
robotic_cleaning_systems.water_usage_reduction_percentage,60,Vena-Energy-Sustainability-Report-_LowRes,2022,Water Consumption,6
2022.non_hazardous_waste,3731,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,7
2022.hazardous_waste,11,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,8
png.decrease_in_non_hazardous_waste,80.2,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,7
png.workforce_growth_2022,20,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
employees_by_jurisdiction.Australia,33,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,4
employees_by_jurisdiction.Japan,345,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,2
Nationalities_Represented_in_Vena_Energy.Africa,2,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,5
Nationalities_Represented_in_Vena_Energy.Taiwan,75,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
Nationalities_Represented_in_Vena_Energy.South_Korea,47,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,5
Nationalities_Represented_in_Vena_Energy.Philippines,123,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,2
Nationalities_Represented_in_Vena_Energy.Indonesia,59,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,6
Nationalities_Represented_in_Vena_Energy.Singapore,30,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,8
remote_lessons.students,146,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
learning_hours.total_hours,4947,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
learning_hours.sessions,92,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
linkedin_learning_access.percentage,73,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
average_educational_content_viewed.hours,7,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
average_training_hours.hours_per_employee,47,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
training_hours_increase.hours,11,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
training_hour_target.minimum_hours_per_employee,40,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,4
png.learning_week_attendance,501,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,5
png.LEAD_program_participants,25,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,3
png.training_hours_per_participant,48,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
2022.staff_utilized_volunteer_service_day_percentage,50,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
png.employees_recognized_safety_reward_program,106,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,7
png.total_training_hours,163660,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
png.tool_box_talks_hours,98565,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,10
png.internal_hse_meetings_hours,49045,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,8
training_record_2022.percentage_employees_received_training,100,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,10
png.internal_external_training_hours,50000,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,6
png.training_hours_percentage_2022,2,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,1
png.training_hours_percentage_2021,1.9,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,4
FirstAidCasesRate.2022,0.9,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,8
LostTimeCases.2021,6,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,8
LostTimeInjuryRate.2019,0.05,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,9
LostTimeInjuryRate.2020,0.12,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,8
LostTimeInjuryRate.2021,0.16,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,8
LostTimeInjuryRate.2022,0.15,Vena-Energy-Sustainability-Report-_LowRes,2022,Occupational Health & Safety,7
workforce_during_construction_2022.identifying_as_Aboriginal_descent,10,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
training_program.participants,12,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,5
training_program.full_certifications_achieved,8,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
summary_of_csr_activities.hours_contributed,4940,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
summary_of_csr_activities.beneficiaries_supported,233000,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
Taiwan.Waste collected,200,Vena-Energy-Sustainability-Report-_LowRes,2022,Waste Generation,5
png.Governance,4,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,7
png.Board_of_Directors,4.1,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,8
png.board_members,5,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,7
png.board_meetings_2022,4,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,6
Sustainability Committee.Meetings in 2022,4,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,6
Remuneration Committee.Meetings in 2022,1,Vena-Energy-Sustainability-Report-_LowRes,2022,Board Composition,3
2022.compliance_training_hours,3,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,6
png.supplier_code_of_conduct_editions,1,Vena-Energy-Sustainability-Report-_LowRes,2022,Alignment with Frameworks And Disclosure Practices,7
png.cyber_security_trainings_frequency_months,2,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,8
png.cyber_security_trainings_completion_rate,97,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,9
Revenue.Increase for FY2022,84,Vena-Energy-Sustainability-Report-_LowRes,2022,Economic Performance,8
Renewable Energy.2021,3.1,Vena-Energy-Sustainability-Report-_LowRes,2022,Energy Consumption(GJ),5
Renewable Energy.2022,3.7,Vena-Energy-Sustainability-Report-_LowRes,2022,Energy Consumption(GJ),7
2021.DevelopmentExpense,-7.4,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,4
Funds from Operational Assets.31 Dec 2021,140,Vena-Energy-Sustainability-Report-_LowRes,2022,Economic Performance,7
Increase_in_FFOA.Percentage,19,Vena-Energy-Sustainability-Report-_LowRes,2022,Economic Performance,8
Additional Information.Independent Limited Assurance Report,6.1,Vena-Energy-Sustainability-Report-_LowRes,2022,Assurance of Sustainability Report,8
Additional Information.Commitment to UN Global Compact,6.5,Vena-Energy-Sustainability-Report-_LowRes,2022,Alignment with Frameworks And Disclosure Practices,7
Total.Male,432,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
Japan.Male,213,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,4
Singapore.Total,48,Vena-Energy-Sustainability-Report-_LowRes,2022,Alignment with Frameworks And Disclosure Practices,5
South Korea.Male,14,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
Japan.Male,244,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,4
Taiwan.Male,51,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
Part-time.Total,3,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,3
Headcount.Middle Management,220,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
Headcount.Executive Management,17,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
<30.Executive Management,0,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,2
30-50.Professionals,136,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,4
30-50.Executive Management,8,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,5
>50.Professionals,19,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,4
>50.Middle Management,39,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,8
Male.Professionals,148,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
Male.Executive Management,16,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,8
Headcount.Middle Management,253,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
Headcount.Executive Management,16,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
<30.Executive Management,0,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,1
30-50.Professionals,159,Vena-Energy-Sustainability-Report-_LowRes,2022,Age-Based Diversity(existing employees by age group),4
30-50.Executive Management,7,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,7
>50.Middle Management,35,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,7
Male.Professionals,174,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,2
Male.Executive Management,15,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,6
Headcount.Professionals,349,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,6
Headcount.Middle Management,283,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,6
Headcount.Executive Management,16,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,8
<30.Professionals,99,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,3
<30.Executive Management,0,Vena-Energy-Sustainability-Report-_LowRes,2022,Management Diversity,1
30-50.Professionals,215,Vena-Energy-Sustainability-Report-_LowRes,2022,Age-Based Diversity(existing employees by age group),4
30-50.Middle Management,220,Vena-Energy-Sustainability-Report-_LowRes,2022,Development & Training,5
