,index_name,index_value,Company Report Name,Year,Predicted_label,Score
33,Annual Report.Page,93,ST-Engineering-Sustainability-Report,2020,Alignment with Frameworks And Disclosure Practices,9
34,Hired Fresh Graduates.Number,157,ST-Engineering-Sustainability-Report,2020,Development & Training,7
35,Employees_by_Sector_2020.Group_Corporate_Office,5,ST-Engineering-Sustainability-Report,2020,Management Diversity,2
36,Employees_by_Geography_2020.Singapore,64,ST-Engineering-Sustainability-Report,2020,Board Composition,5
37,Employees_by_Geography_2020.North_America,22,ST-Engineering-Sustainability-Report,2020,Board Composition,2
38,Employees.Male,79,ST-Engineering-Sustainability-Report,2020,Management Diversity,9
39,AverageTrainingPerEmployee.Overall,16.3,ST-Engineering-Sustainability-Report,2020,Development & Training,8
40,AverageTrainingPerEmployee.Male,17.8,ST-Engineering-Sustainability-Report,2020,Development & Training,7
41,AverageTrainingPerEmployee.Female,10.9,ST-Engineering-Sustainability-Report,2020,Development & Training,7
42,PeopleManagers.MaleEmployees,16,ST-Engineering-Sustainability-Report,2020,Management Diversity,7
43,EmployeesByQualification.DegreeOrEquivalent,39,ST-Engineering-Sustainability-Report,2020,Development & Training,4
44,EmployeesByQualification.DiplomaOrEquivalent,18,ST-Engineering-Sustainability-Report,2020,Development & Training,3
45,EmployeesByQualification.OOrALevelsOrEquivalent,18,ST-Engineering-Sustainability-Report,2020,Development & Training,7
46,EmployeesByQualification.BelowOLevelsOrEquivalent,4,ST-Engineering-Sustainability-Report,2020,Development & Training,8
47,EmployeesByAge.30AndBelow,14,ST-Engineering-Sustainability-Report,2020,Age-Based Diversity(existing employees by age group),7
48,EmployeesByAge.40To50,27,ST-Engineering-Sustainability-Report,2020,Age-Based Diversity (existing employees by age group),6
49,EmployeesByAge.50To60,23,ST-Engineering-Sustainability-Report,2020,Age-Based Diversity(existing employees by age group),6
50,EmployeesByAge.Above60,10,ST-Engineering-Sustainability-Report,2020,Age-Based Diversity (existing employees by age group),7
51,2020.AccidentFrequencyRate,0.8,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,7
52,2020.AccidentSeverityRate,17.2,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,6
53,InjuryCauses.FallingFromHeightsAndStruckByObjects,22,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,8
54,2020.NoiseInducedDeafnessCases,0,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,8
55,2020.OccupationalDiseasesOccurrences,0,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,10
56,Occupational_Health_Performance_Indicators.Workplace_Safety_Health_Activities_Organised,70,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,7
57,Occupational_Health_Performance_Indicators.At_Risk_Staff_Respiratory_Protection_Training,100,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,8
58,Occupational_Health_Performance_Indicators.New_Occupational_Diseases_Cases,0,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,10
59,Occupational_Health_Performance_Indicators.New_Advanced_Noise_Induced_Deafness_Cases,0,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,10
60,Occupational_Health_Performance_Indicators.At_Risk_Staff_Audiometric_Examination,100,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,9
61,Breakdown_of_Safety_Incidents.Falls_from_Height,21,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,6
62,Breakdown_of_Safety_Incidents.Struck_by_Objects,21,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,4
63,Breakdown_of_Safety_Incidents.Cuts_Stabbed_by_Objects,17,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,4
64,Breakdown_of_Safety_Incidents.Caught_in_Between,12,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,8
65,Breakdown_of_Safety_Incidents.Slips_Trips_and_Falls,12,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,6
66,Breakdown_of_Safety_Incidents.Machinery_in_Motion,7,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,4
67,Breakdown_of_Safety_Incidents.Burns,5,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,6
68,Breakdown_of_Safety_Incidents.Contact_with_Chemicals,3,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,2
69,Breakdown_of_Safety_Incidents.Fractures,2,ST-Engineering-Sustainability-Report,2020,Occupational Health & Safety,4
70,ContributionsByType2020.EmployeesTime,0.6,ST-Engineering-Sustainability-Report,2020,Development & Training,6
71,png.Temasek Foundation Volunteers,200,ST-Engineering-Sustainability-Report,2020,Development & Training,7
72,png.MSc_students_involved,2,ST-Engineering-Sustainability-Report,2020,Development & Training,3
73,png.interns_involved,10,ST-Engineering-Sustainability-Report,2020,Development & Training,10
74,png.apprentices,50,ST-Engineering-Sustainability-Report,2020,Development & Training,5
75,png.un_sdg,16,ST-Engineering-Sustainability-Report,2020,Development & Training,7
76,2020.employees_trained_percentage,98,ST-Engineering-Sustainability-Report,2020,Development & Training,7
77,Anti-Bribery_and_Corruption_Training.2018,7863,ST-Engineering-Sustainability-Report,2020,Development & Training,8
78,Anti-Bribery_and_Corruption_Training.2019,9106,ST-Engineering-Sustainability-Report,2020,Development & Training,7
79,Anti-Bribery_and_Corruption_Training.2020,12810,ST-Engineering-Sustainability-Report,2020,Development & Training,8
80,png.NumberOfBoardCommittees,6,ST-Engineering-Sustainability-Report,2020,Board Composition,8
81,Board Meetings.2020,5,ST-Engineering-Sustainability-Report,2020,Board Composition,5
82,meetings_held_FY2020.Board,5,ST-Engineering-Sustainability-Report,2020,Board Composition,3
83,meetings_held_FY2020.RD&T,2,ST-Engineering-Sustainability-Report,2020,Development & Training,4
84,meetings_held_FY2020.RSC,5,ST-Engineering-Sustainability-Report,2020,Alignment with Frameworks And Disclosure Practices,5
85,board_composition.total_directors,11,ST-Engineering-Sustainability-Report,2020,Board Composition,8
86,board_composition.alternate_director,1,ST-Engineering-Sustainability-Report,2020,Board Composition,5
87,director_types.independent_non_executive,7,ST-Engineering-Sustainability-Report,2020,Board Composition,7
88,director_types.non_independent_non_executive,3,ST-Engineering-Sustainability-Report,2020,Board Composition,6
89,director_types.executive_director_group_president_ceo,1,ST-Engineering-Sustainability-Report,2020,Board Composition,7
90,board_independence.independent_directors,7,ST-Engineering-Sustainability-Report,2020,Board Composition,7
91,board_independence.non_executive_directors,10,ST-Engineering-Sustainability-Report,2020,Board Composition,7
92,png.Retiring_Directors_Info_Pages[0],20,ST-Engineering-Sustainability-Report,2020,Board Composition,9
93,png.directors_fees_cash_percentage,70,ST-Engineering-Sustainability-Report,2020,Board Composition,7
94,png.directors_fees_shares_percentage,30,ST-Engineering-Sustainability-Report,2020,Board Composition,3
95,PrivateSectorFY2020.BoardBasicRetainerFee,75000,ST-Engineering-Sustainability-Report,2020,Board Composition,3
96,AuditCommittee.Chairman,52000,ST-Engineering-Sustainability-Report,2020,Board Composition,5
97,AuditCommittee.Member,29000,ST-Engineering-Sustainability-Report,2020,Board Composition,9
98,ERCC_SFC_RD&T_RSC.Chairman,35000,ST-Engineering-Sustainability-Report,2020,Board Composition,7
99,OtherCommitteesIncludingNC.Chairman,29000,ST-Engineering-Sustainability-Report,2020,Board Composition,7
100,PublicSectorNEDFeesFY2020.DeputyChairman_ChairmanExecutiveCommittee_ChairmanAuditCommittee,33750,ST-Engineering-Sustainability-Report,2020,Board Composition,7
101,PublicSectorNEDFeesFY2020.MemberExecutiveCommittee_MemberAuditCommittee_ChairmanOfOtherBoardCommittees,22500,ST-Engineering-Sustainability-Report,2020,Board Composition,3
102,AdditionalInformation.NEDsRemunerationFY2019,1724587,ST-Engineering-Sustainability-Report,2020,Board Composition,7
103,VincentChongSyFeng.Benefits,130015,ST-Engineering-Sustainability-Report,2020,Board Composition,7
104,NonExecutiveDirectors[0].CashBased,489857,ST-Engineering-Sustainability-Report,2020,Board Composition,7
105,NonExecutiveDirectors[0].ShareBased,209938,ST-Engineering-Sustainability-Report,2020,Board Composition,3
106,NonExecutiveDirectors[0].Total,699795,ST-Engineering-Sustainability-Report,2020,Board Composition,7
107,NonExecutiveDirectors[1].CashBased,4106,ST-Engineering-Sustainability-Report,2020,Board Composition,7
108,NonExecutiveDirectors[1].Total,4106,ST-Engineering-Sustainability-Report,2020,Board Composition,6
109,NonExecutiveDirectors[2].CashBased,10497,ST-Engineering-Sustainability-Report,2020,Board Composition,7
110,NonExecutiveDirectors[2].Total,10497,ST-Engineering-Sustainability-Report,2020,Board Composition,7
111,NonExecutiveDirectors[3].CashBased,113459,ST-Engineering-Sustainability-Report,2020,Board Composition,7
112,NonExecutiveDirectors[3].ShareBased,48625,ST-Engineering-Sustainability-Report,2020,Board Composition,7
113,NonExecutiveDirectors[3].Total,162084,ST-Engineering-Sustainability-Report,2020,Board Composition,8
114,NonExecutiveDirectors[4].CashBased,132557,ST-Engineering-Sustainability-Report,2020,Board Composition,7
115,NonExecutiveDirectors[4].ShareBased,56810,ST-Engineering-Sustainability-Report,2020,Board Composition,7
116,NonExecutiveDirectors[4].Total,189367,ST-Engineering-Sustainability-Report,2020,Board Composition,6
117,NonExecutiveDirectors[5].CashBased,112268,ST-Engineering-Sustainability-Report,2020,Board Composition,4
118,NonExecutiveDirectors[5].ShareBased,48115,ST-Engineering-Sustainability-Report,2020,Board Composition,8
119,NonExecutiveDirectors[5].Total,160383,ST-Engineering-Sustainability-Report,2020,Board Composition,8
120,NonExecutiveDirectors[6].CashBased,45384,ST-Engineering-Sustainability-Report,2020,Board Composition,7
121,NonExecutiveDirectors[6].ShareBased,19450,ST-Engineering-Sustainability-Report,2020,Board Composition,3
122,NonExecutiveDirectors[6].Total,64834,ST-Engineering-Sustainability-Report,2020,Board Composition,7
123,NonExecutiveDirectors[7].CashBased,10497,ST-Engineering-Sustainability-Report,2020,Board Composition,7
124,NonExecutiveDirectors[7].Total,10497,ST-Engineering-Sustainability-Report,2020,Board Composition,8
125,NonExecutiveDirectors[8].CashBased,20994,ST-Engineering-Sustainability-Report,2020,Board Composition,7
126,NonExecutiveDirectors[8].Total,20994,ST-Engineering-Sustainability-Report,2020,Board Composition,7
127,NonExecutiveDirectors[9].CashBased,138184,ST-Engineering-Sustainability-Report,2020,Board Composition,7
128,NonExecutiveDirectors[9].ShareBased,59222,ST-Engineering-Sustainability-Report,2020,Board Composition,3
129,NonExecutiveDirectors[9].Total,197406,ST-Engineering-Sustainability-Report,2020,Board Composition,5
130,NonExecutiveDirectors[10].CashBased,112059,ST-Engineering-Sustainability-Report,2020,Board Composition,7
131,NonExecutiveDirectors[10].ShareBased,48025,ST-Engineering-Sustainability-Report,2020,Board Composition,5
132,NonExecutiveDirectors[10].Total,160084,ST-Engineering-Sustainability-Report,2020,Board Composition,7
133,NonExecutiveDirectors[11].CashBased,1189862,ST-Engineering-Sustainability-Report,2020,Board Composition,7
134,NonExecutiveDirectors[11].ShareBased,490185,ST-Engineering-Sustainability-Report,2020,Board Composition,5
135,NonExecutiveDirectors[11].Total,1680047,ST-Engineering-Sustainability-Report,2020,Board Composition,8
136,NonExecutiveDirectors.TotalCashBased,32500,ST-Engineering-Sustainability-Report,2020,Board Composition,4
137,NonExecutiveDirectors.Total,32500,ST-Engineering-Sustainability-Report,2020,Board Composition,8
138,RemunerationRanges[3].min,1250000,ST-Engineering-Sustainability-Report,2020,Economic Performance,8
139,png.fees_paid_external_auditors_2020,4.3,ST-Engineering-Sustainability-Report,2020,Assurance of Sustainability Report,6
140,Shareholdings_by_Type_2020.Temasek_Holdings,50.8,ST-Engineering-Sustainability-Report,2020,Board Composition,5
141,Shareholdings_by_Type_2020.Institutional,30.1,ST-Engineering-Sustainability-Report,2020,Board Composition,3
142,Introduction.About this report,5,Maxeon Solar Technologies,2022,Alignment with Frameworks And Disclosure Practices,7
143,Environmental.Energy and emissions,19,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
144,Environmental.Water management,25,Maxeon Solar Technologies,2022,Water Consumption,6
145,Environmental.Waste,27,Maxeon Solar Technologies,2022,Waste Generation,6
146,Social.Occupational health and safety,41,Maxeon Solar Technologies,2022,Occupational Health & Safety,7
147,Social.Learning and development,50,Maxeon Solar Technologies,2022,Development & Training,6
148,2020.Joined United Nations Global Compact,True,Maxeon Solar Technologies,2022,Alignment with Frameworks And Disclosure Practices,7
149,2021.Inaugural Sustainability Report,True,Maxeon Solar Technologies,2022,Alignment with Frameworks And Disclosure Practices,5
150,2022.Published 2nd Sustainability Report,True,Maxeon Solar Technologies,2022,Alignment with Frameworks And Disclosure Practices,4
151,Energy Intensity.2020,254,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
152,Water Intensity.2020,3874,Maxeon Solar Technologies,2022,Water Consumption,4
153,Waste Recycling.2020,80,Maxeon Solar Technologies,2022,Waste Generation,7
154,Waste Recycling.2022 Performance,68,Maxeon Solar Technologies,2022,Waste Generation,7
155,IncidentsOfCorruption.2020,0,Maxeon Solar Technologies,2022,Ethical Behaviour,10
156,IncidentsOfCorruption.2022Performance,0,Maxeon Solar Technologies,2022,Ethical Behaviour,10
157,png.total_emissions,240076.9,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),3
158,png.scope_1_emissions,327.9,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),4
159,png.scope_2_emissions,239391.1,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),4
160,png.scope_3_emissions,357.9,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),1
161,reduce_energy_intensity.percentage,10,Maxeon Solar Technologies,2022,Energy Consumption(GJ),5
162,reduce_emission_intensity.percentage,20,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
163,png.nitrogen_generation_plant_compressors_optimization_energy_savings_2022,78,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
164,png.CDA_supply_pressure_optimization_total_energy_savings,415,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
165,png.chemical_dispensing_processes_transition_to_nitrogen_energy_savings,35,Maxeon Solar Technologies,2022,Energy Consumption(GJ),6
166,png.WWTPs_transition_to_nitrogen_energy_savings,88.7,Maxeon Solar Technologies,2022,Waste Generation,9
167,png.total_emissions,240076.9,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),2
168,png.scope_3_emissions,357.9,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),4
169,png.energy_intensity_2022,174.5,Maxeon Solar Technologies,2022,Energy Consumption(GJ),4
170,png.energy_intensity_reduction_from_2020_baseline,31.3,Maxeon Solar Technologies,2022,Energy Consumption(GJ),6
171,png.emissions_intensity_reduction_from_2020_baseline,14.8,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
172,png.emissions_avoidance_2022,16473076,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),3
173,water_intensity_reduction_targets.2025,2.5,Maxeon Solar Technologies,2022,Water Consumption,7
174,water_intensity_reduction_targets.2030,5,Maxeon Solar Technologies,2022,Water Consumption,3
175,2022.water_withdrawn_m3,4582823.7,Maxeon Solar Technologies,2022,Water Consumption,3
176,png.water_intensity_m3_per_MW,2601.7,Maxeon Solar Technologies,2022,Water Consumption,5
177,2025.improvement_percent,2.5,Maxeon Solar Technologies,2022,Economic Performance,7
178,waste_recycling_increase.2025,5,Maxeon Solar Technologies,2022,Waste Generation,7
179,waste_recycling_increase.2030,20,Maxeon Solar Technologies,2022,Waste Generation,7
180,diverted_solid_waste.amount,254,Maxeon Solar Technologies,2022,Waste Generation,4
181,png.reduction_single_use_bottled_drinks_plastics,50,Maxeon Solar Technologies,2022,Waste Generation,5
182,png.domestic_waste_collection_malaysia,324,Maxeon Solar Technologies,2022,Waste Generation,4
183,png.total_waste_produced_2022,14501,Maxeon Solar Technologies,2022,Waste Generation,5
184,png.hazardous_waste_2022,6597.7,Maxeon Solar Technologies,2022,Waste Generation,9
185,png.hazardous_waste_percentage,45.5,Maxeon Solar Technologies,2022,Waste Generation,7
186,png.non_hazardous_waste_percentage,54.5,Maxeon Solar Technologies,2022,Waste Generation,5
187,png.increase_waste_compared_2020,22.9,Maxeon Solar Technologies,2022,Waste Generation,3
188,png.waste_diverted_recycling_percentage,67.7,Maxeon Solar Technologies,2022,Waste Generation,7
189,png.hazardous_waste_recycled_percentage,47.9,Maxeon Solar Technologies,2022,Waste Generation,5
190,png.non_hazardous_waste_recycled_percentage,84.1,Maxeon Solar Technologies,2022,Waste Generation,8
191,png.previous_recycling_rate_2020,80,Maxeon Solar Technologies,2022,Waste Generation,8
192,png.waste_reduction_goal_2025,5,Maxeon Solar Technologies,2022,Waste Generation,6
193,png.waste_reduction_goal_2030,20,Maxeon Solar Technologies,2022,Waste Generation,7
194,png.reduction_in_corner_pieces_for_packaging,52,Maxeon Solar Technologies,2022,Waste Generation,7
195,png.employees_participated,50,Maxeon Solar Technologies,2022,Development & Training,5
196,Energy Consumption (MWh).2020,276044,Maxeon Solar Technologies,2022,Energy Consumption(GJ),5
197,Energy Consumption (MWh).2021,240832,Maxeon Solar Technologies,2022,Energy Consumption(GJ),8
198,Energy Consumption (MWh).2022,370347,Maxeon Solar Technologies,2022,Energy Consumption(GJ),4
199,Energy Intensity (MWh used per MW produced).2020,254,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
200,Energy Intensity (MWh used per MW produced).2021,268,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
201,Energy Intensity (MWh used per MW produced).2022,175,Maxeon Solar Technologies,2022,Energy Consumption(GJ),3
202,Fuel Consumption (MWh).2020,1170,Maxeon Solar Technologies,2022,Energy Consumption(GJ),6
203,Fuel Consumption (MWh).2021,1795,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
204,Fuel Consumption (MWh).2022,1109,Maxeon Solar Technologies,2022,Energy Consumption(GJ),4
205,LPG Use (MWh).2022,397,Maxeon Solar Technologies,2022,Energy Consumption(GJ),6
206,"Total Electricity Use (MWh) - Grid, PPA, Onsite.2020",274310,Maxeon Solar Technologies,2022,Energy Consumption(GJ),6
207,"Total Electricity Use (MWh) - Grid, PPA, Onsite.2021",243440,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
208,"Total Electricity Use (MWh) - Grid, PPA, Onsite.2022",305841,Maxeon Solar Technologies,2022,Energy Consumption(GJ),6
209,Conventional Purchased Electricity – Grid (MWh).2020,266246,Maxeon Solar Technologies,2022,Energy Consumption(GJ),4
210,Conventional Purchased Electricity – Grid (MWh).2021,238142,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
211,Conventional Purchased Electricity – Grid (MWh).2022,292312,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
212,Conventional Purchased Electricity – Grid (%).2020,97,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
213,Conventional Purchased Electricity – Grid (%).2021,98,Maxeon Solar Technologies,2022,Energy Consumption(GJ),7
214,Conventional Purchased Electricity – Grid (%).2022,95,Maxeon Solar Technologies,2022,Energy Consumption(GJ),2
215,Scope 1 Emissions (tCO₂e).2020,399,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
216,Scope 1 Emissions (tCO₂e).2021,580,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),3
217,Scope 1 Emissions (tCO₂e).2022,328,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),4
218,Scope 2 Emissions (tCO₂e).2020,173335,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
219,Scope 2 Emissions (tCO₂e).2021,149282,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
220,Scope 2 Emissions (tCO₂e).2022,239391,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),6
221,Scope 3 Emissions (tCO₂e).2020,328,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),3
222,Scope 3 Emissions (tCO₂e).2021,441,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),2
223,Scope 3 Emissions (tCO₂e).2022,358,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),8
224,Total Emissions (tCO₂e).2020,174062,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),4
225,Total Emissions (tCO₂e).2021,150303,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),5
226,Total Emissions (tCO₂e).2022,240077,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),5
227,GHG Emissions Intensity [tCO₂e used per MW produced].2020,160,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
228,GHG Emissions Intensity [tCO₂e used per MW produced].2021,167,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
229,GHG Emissions Intensity [tCO₂e used per MW produced].2022,136,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),7
230,Emissions avoided annually (tCO₂e).2020,10147576,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),8
231,Emissions avoided annually (tCO₂e).2021,8413603,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),9
232,Emissions avoided annually (tCO₂e).2022,16473076,Maxeon Solar Technologies,2022,Greenhouse Gas Emissions(“GHG”),9
233,Total Water Withdrawn (m³).2020,4203076,Maxeon Solar Technologies,2022,Water Consumption,5
234,Total Water Withdrawn (m³).2021,3486450,Maxeon Solar Technologies,2022,Water Consumption,4
235,Total Water Withdrawn (m³).2022,4582824,Maxeon Solar Technologies,2022,Water Consumption,7
236,Total Water Recycled (m³).2020,6445,Maxeon Solar Technologies,2022,Water Consumption,7
237,Total Water Recycled (m³).2021,25689,Maxeon Solar Technologies,2022,Water Consumption,7
238,Total Water Recycled (m³).2022,44110,Maxeon Solar Technologies,2022,Water Consumption,5
239,Total Water Discharge Volume (m³).2020,4466105,Maxeon Solar Technologies,2022,Water Consumption,6
240,Total Water Discharge Volume (m³).2021,3689724,Maxeon Solar Technologies,2022,Water Consumption,7
241,Total Water Discharge Volume (m³).2022,4523336,Maxeon Solar Technologies,2022,Water Consumption,7
242,Third-party water withdrawn (megalitres).2020,4203,Maxeon Solar Technologies,2022,Water Consumption,7
243,Third-party water withdrawn (megalitres).2021,3486,Maxeon Solar Technologies,2022,Water Consumption,8
244,Third-party water withdrawn (megalitres).2022,4583,Maxeon Solar Technologies,2022,Water Consumption,5
245,Total water discharge to all areas (megalitres).2020,4466,Maxeon Solar Technologies,2022,Water Consumption,4
246,Total water discharge to all areas (megalitres).2021,3690,Maxeon Solar Technologies,2022,Water Consumption,8
247,Total water discharge to all areas (megalitres).2022,4523,Maxeon Solar Technologies,2022,Water Consumption,5
248,Total water discharge to all areas with water stress (megalitres).2020,0,Maxeon Solar Technologies,2022,Water Consumption,5
249,Total water discharge to all areas with water stress (megalitres).2021,0,Maxeon Solar Technologies,2022,Water Consumption,7
250,Total water discharge to all areas with water stress (megalitres).2022,0,Maxeon Solar Technologies,2022,Water Consumption,5
251,Total water consumption from all areas in megalitres.2020,4203,Maxeon Solar Technologies,2022,Water Consumption,5
252,Total water consumption from all areas in megalitres.2021,3876,Maxeon Solar Technologies,2022,Water Consumption,4
253,Total water consumption from all areas in megalitres.2022,4583,Maxeon Solar Technologies,2022,Water Consumption,7
254,Total water consumption from all areas with water stress in megalitres.2020,0,Maxeon Solar Technologies,2022,Water Consumption,5
255,Total water consumption from all areas with water stress in megalitres.2021,0,Maxeon Solar Technologies,2022,Water Consumption,5
256,Total water consumption from all areas with water stress in megalitres.2022,0,Maxeon Solar Technologies,2022,Water Consumption,5
257,Water Intensity [m³ used per MW produced].2020,3874,Maxeon Solar Technologies,2022,Water Consumption,7
258,Water Intensity [m³ used per MW produced].2021,3876,Maxeon Solar Technologies,2022,Water Consumption,7
259,Water Intensity [m³ used per MW produced].2022,2602,Maxeon Solar Technologies,2022,Water Consumption,7
260,2020.Hazardous Waste Generation (tons),6125,Maxeon Solar Technologies,2022,Waste Generation,3
